open,close,high,low,value,volume,begin,end
2774.8,2775.0,2775.0,2774.8,505046.1,182,2011-12-15 16:16:00,2011-12-15 16:16:59
2775.0,2774.9,2775.0,2774.9,457861.8,165,2011-12-15 16:17:00,2011-12-15 16:17:59
2774.9,2766.7,2774.9,2765.9,709712.6,256,2011-12-15 16:18:00,2011-12-15 16:18:59
2774.6,2763.2,2774.7,2763.2,473662.8,171,2011-12-15 16:19:00,2011-12-15 16:19:59
2771.0,2764.9,2771.1,2755.1,641173.9,232,2011-12-15 16:20:00,2011-12-15 16:20:59
2765.8,2766.0,2766.1,2757.0,542039.0,196,2011-12-15 16:21:00,2011-12-15 16:21:59
2766.2,2764.4,2766.9,2758.9,168671.2,61,2011-12-15 16:22:00,2011-12-15 16:22:59
2763.8,2756.2,2763.8,2755.6,121517.0,44,2011-12-15 16:23:00,2011-12-15 16:23:59
2762.3,2762.1,2762.3,2761.6,71812.7,26,2011-12-15 16:24:00,2011-12-15 16:24:59
2761.6,2758.2,2762.2,2717.0,3294434.4,1198,2011-12-15 16:25:00,2011-12-15 16:25:59
2763.8,2758.1,2766.7,2751.8,477737.1,173,2011-12-15 16:26:00,2011-12-15 16:26:59
2767.6,2765.0,2767.7,2754.8,348170.7,126,2011-12-15 16:27:00,2011-12-15 16:27:59
2764.9,2753.7,2767.4,2753.7,364410.9,132,2011-12-15 16:28:00,2011-12-15 16:28:59
2764.5,2761.1,2766.0,2754.4,383832.1,139,2011-12-15 16:29:00,2011-12-15 16:29:59
2766.6,2766.1,2767.1,2755.7,798229.7,289,2011-12-15 16:30:00,2011-12-15 16:30:59
2766.0,2755.7,2766.0,2755.7,405794.7,147,2011-12-15 16:31:00,2011-12-15 16:31:59
2762.1,2755.4,2762.1,2753.5,226106.6,82,2011-12-15 16:32:00,2011-12-15 16:32:59
2755.3,2752.6,2755.3,2752.6,71602.7,26,2011-12-15 16:33:00,2011-12-15 16:33:59
2760.3,2751.6,2760.3,2751.6,77078.9,28,2011-12-15 16:35:00,2011-12-15 16:35:59
2751.6,2751.4,2751.6,2751.4,13757.2,5,2011-12-15 16:36:00,2011-12-15 16:36:59
2751.4,2751.4,2751.4,2751.4,13757.0,5,2011-12-15 16:37:00,2011-12-15 16:37:59
2751.4,2751.0,2751.4,2751.0,214586.1,78,2011-12-15 16:38:00,2011-12-15 16:38:59
2751.0,2743.9,2751.0,2734.8,214186.4,78,2011-12-15 16:39:00,2011-12-15 16:39:59
2729.3,2747.9,2747.9,2729.3,65774.7,24,2011-12-15 16:40:00,2011-12-15 16:40:59
2746.8,2738.1,2750.2,2736.4,106976.0,39,2011-12-15 16:41:00,2011-12-15 16:41:59
